schema_version,sample_id,blind_order,question_id,split,retrieval_strategy,k,confirmation_sampling_stratum,sample_seed,example_id,semantic_config_sha256,semantic_label_governance_sha256,annotation_guideline_version,annotation_guideline_sha256
phase03-semantic-confirmation-sample-v1,02ac3ff26160864a70e3bf1777173305a82cbe64e35310ef9030d129f7c9b88f,78,TRAIN_Q450,validation,bm25,3,strict_negative_semantic_negative,43,0d52e6c94bf54039913fe547fb35e31f707f196b42c2e94a422525ce2ee96838,98f7279821921d825470ee64efa810777e5b331d4c978e6234e7b689b6657fdf,233c61c45c7ad75b876e81deeb290d546a13f034f1d18c82787aea678ba0f533,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-semantic-confirmation-sample-v1,05b46096964092032dc9d5072a2231011871df4e4234c4f8bc5993732b85f65f,97,DEV_Q303,validation,hybrid,3,strict_negative_semantic_negative,43,9469bd90f61c63be5dba3fa5c48c4ac0f9b3ef04274b5508a3ea306768173c25,98f7279821921d825470ee64efa810777e5b331d4c978e6234e7b689b6657fdf,233c61c45c7ad75b876e81deeb290d546a13f034f1d18c82787aea678ba0f533,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-semantic-confirmation-sample-v1,0760b4f1cdc0fa8c054d0e9770d8103fa6cb89e2e9eb18c930e658711d35b2fc,41,TRAIN_Q263,train,bm25,1,strict_negative_semantic_positive,43,5e40c99dc76fb1c92987e60fe81969fbbc793c7f827f3a0798bc8aafa1f3740e,98f7279821921d825470ee64efa810777e5b331d4c978e6234e7b689b6657fdf,233c61c45c7ad75b876e81deeb290d546a13f034f1d18c82787aea678ba0f533,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-semantic-confirmation-sample-v1,07f492084cda64587e3acb313b17e22b688891d4e78c820b3d60ba250d4ce4e3,98,TRAIN_Q005,train,hybrid,3,strict_positive_semantic_positive,43,dc89882e85d19a960c853dbf6ae2713ccffb60f843c95b17817b7070cb767821,98f7279821921d825470ee64efa810777e5b331d4c978e6234e7b689b6657fdf,233c61c45c7ad75b876e81deeb290d546a13f034f1d18c82787aea678ba0f533,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-semantic-confirmation-sample-v1,0c4df506f0634dc143323a9cbaee6ba14c3dab953ff2b12236c474b7a0591682,68,TRAIN_Q069,train,dense,10,strict_positive_semantic_positive,43,0df7a877b992c7f0ca76b9036555818d01dcf7a549fc3d54ba81b8842e8a5082,98f7279821921d825470ee64efa810777e5b331d4c978e6234e7b689b6657fdf,233c61c45c7ad75b876e81deeb290d546a13f034f1d18c82787aea678ba0f533,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-semantic-confirmation-sample-v1,0e71816d098557059c6f66e4f2ebeb2a387439c35c0202879eacaf525721c0a7,39,TRAIN_Q379,train,bm25,3,strict_positive_semantic_positive,43,56c64c36a2ec44ec1a14e40d9593fc7c00e7139f5c99a65fb5834298042df06d,98f7279821921d825470ee64efa810777e5b331d4c978e6234e7b689b6657fdf,233c61c45c7ad75b876e81deeb290d546a13f034f1d18c82787aea678ba0f533,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-semantic-confirmation-sample-v1,0e9cb4fe78397e93c644c94f4ad514ff2505289615a139ca9f4760219427b5c8,12,TRAIN_Q222,train,bm25,3,strict_negative_semantic_positive,43,329f4f03c76b8550c10608bb2ecc0b2caf9d1444be0bdc737410e4e04c71ffde,98f7279821921d825470ee64efa810777e5b331d4c978e6234e7b689b6657fdf,233c61c45c7ad75b876e81deeb290d546a13f034f1d18c82787aea678ba0f533,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-semantic-confirmation-sample-v1,0f0d97b201bad60c03742de65bb8194af93d82447faf437efe9d2205f81c8065,92,DEV_Q027,train,dense,10,strict_negative_semantic_negative,43,b8a40da0d9d13c9e0bf1a0775b872e83dfe8b0fc6d1315b7379c6ecf93b83513,98f7279821921d825470ee64efa810777e5b331d4c978e6234e7b689b6657fdf,233c61c45c7ad75b876e81deeb290d546a13f034f1d18c82787aea678ba0f533,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-semantic-confirmation-sample-v1,0ff72721abdf65279dedbd6a0a44ebfd1da6cfefa7493c2dbceede886033215a,99,TRAIN_Q162,validation,dense,10,strict_negative_semantic_negative,43,a344cf78409481b0ae158badbaf2bf5f7b5205b44c19698d5a7adfc0acc43249,98f7279821921d825470ee64efa810777e5b331d4c978e6234e7b689b6657fdf,233c61c45c7ad75b876e81deeb290d546a13f034f1d18c82787aea678ba0f533,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-semantic-confirmation-sample-v1,154a905dc16fcf0dc04b424830971df5492c9b7edf18c29be18f10b1c6216743,75,TRAIN_Q355,train,hybrid,3,strict_positive_semantic_positive,43,4bc918284a5a1f034d4c38c209a4feeb23925fdbcbd26497d6902b2556cada3c,98f7279821921d825470ee64efa810777e5b331d4c978e6234e7b689b6657fdf,233c61c45c7ad75b876e81deeb290d546a13f034f1d18c82787aea678ba0f533,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
