schema_version,split,retrieval_strategy,k,eligible_questions,document_recall_at_k,mrr_at_10,limitation
phase02-metrics-v1,validation,bm25,1,91,0.4285714285714285,0.5117913832199547,correct-document retrieval is not proof of sufficient answer evidence
phase02-metrics-v1,validation,bm25,3,91,0.5384615384615384,0.5117913832199547,correct-document retrieval is not proof of sufficient answer evidence
phase02-metrics-v1,validation,bm25,5,91,0.6153846153846154,0.5117913832199547,correct-document retrieval is not proof of sufficient answer evidence
phase02-metrics-v1,validation,bm25,10,91,0.7142857142857143,0.5117913832199547,correct-document retrieval is not proof of sufficient answer evidence
phase02-metrics-v1,validation,dense,1,91,0.3736263736263736,0.5008634222919938,correct-document retrieval is not proof of sufficient answer evidence
phase02-metrics-v1,validation,dense,3,91,0.6043956043956044,0.5008634222919938,correct-document retrieval is not proof of sufficient answer evidence
phase02-metrics-v1,validation,dense,5,91,0.7032967032967034,0.5008634222919938,correct-document retrieval is not proof of sufficient answer evidence
phase02-metrics-v1,validation,dense,10,91,0.7582417582417582,0.5008634222919938,correct-document retrieval is not proof of sufficient answer evidence
phase02-metrics-v1,validation,hybrid,1,91,0.4725274725274725,0.5679923251351823,correct-document retrieval is not proof of sufficient answer evidence
phase02-metrics-v1,validation,hybrid,3,91,0.6483516483516484,0.5679923251351823,correct-document retrieval is not proof of sufficient answer evidence
phase02-metrics-v1,validation,hybrid,5,91,0.7032967032967034,0.5679923251351823,correct-document retrieval is not proof of sufficient answer evidence
phase02-metrics-v1,validation,hybrid,10,91,0.7472527472527473,0.5679923251351823,correct-document retrieval is not proof of sufficient answer evidence
