schema_version,dataset_revision,split_group_id,component_size,member_question_ids_json,shared_gold_filenames_json,normalized_question_hashes_json,answerable_count,impossible_count,assigned_split,split_seed,split_algorithm_version,component_sha256
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:001289d369b1ef3dc1afcf85330c9ab33546b814ecc0aa0f25e32ab355c31968,1,"[""DEV_Q293""]",[],"[""3eac8446496cf513acbace9e9ccfec3129abf7ac1dd2a873f25c1eb583d48536""]",0,1,validation,42,connected-component-lexicographic-milp-v1,6610b3780c6b7d53fa98fc147e81e4873720a37894e52d6bbf49c54bfef4e495
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:00633af7ebad8f108c581c25d0520a4c7adbcbaf9d747a12a6b046dc29fcf5c6,2,"[""TRAIN_Q112"",""TRAIN_Q342""]","[""swg21624731.txt""]","[""89ea044a7641df0e6c184be4cd873a6758904eea26c2732e38d5b2cd326b828e""]",1,1,train,42,connected-component-lexicographic-milp-v1,2c1f03620697b54786db0f44098525b4cea5ae7f8a35ad247a4fdc6a38aeb5c5
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:007b3174205da783c20ba98c376f24126319ba487742bf0d13e0c6b07c1bf2d7,1,"[""DEV_Q021""]","[""swg21298897.txt""]","[""b8b9c02d851432619c06253bf80aa1f38c614ec54f83323c6c3409994f51b293""]",1,0,train,42,connected-component-lexicographic-milp-v1,5a074f21a71f13d93ea492a1fba4a2d6625b7665c4b91f1b6f912c7da776c143
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:009692fc1d57600d6f34082eb4f3b64af95fb3889b50a4fe91d43fa0f7b22e4a,1,"[""TRAIN_Q599""]","[""swg21991690.txt""]","[""5a70d1222fadb342abf342b9364ecbf57a47fde0cf10aef24e2870675e3bfb5a""]",1,0,train,42,connected-component-lexicographic-milp-v1,d89e39c6e86a44ed623f302b9ce5c10ece3cf90e1bdb5b420768bd2672e8ea7b
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:016ccfd5dbcbc0c7ad87abd6b88a715500da6624fb517a340260172a7cf76674,1,"[""DEV_Q109""]","[""swg21995079.txt""]","[""0ff165d02b28a5ef92b4f8a110b47f19110c6be49fcb7520e946db7c8d56f7ea""]",1,0,train,42,connected-component-lexicographic-milp-v1,f9b98851d8e37e985db02ef454407127943043735bcae27dc916ebbaec7e3826
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:020ad41ec53aefa98c8ed79f249f569ba2a450f8a87708479dd64bebd9fac2a3,1,"[""TRAIN_Q157""]",[],"[""78a6db20b60d282375fcc0dd1349fa38aea7b1e9903200c294d3d517121cebb6""]",0,1,train,42,connected-component-lexicographic-milp-v1,cc2fba9d72ec5ceed39837582bcdde9363325ae9ace648df47937dce19b5623c
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:028edbe1a991151f614c8d8f35aac046a52880974c9fd7151ed2ef0823342637,1,"[""TRAIN_Q540""]","[""swg27049061.txt""]","[""ea2754621222ef04e8a769c9ce1cd027772d106ac8ae6e423aae1fe0211e70f9""]",1,0,train,42,connected-component-lexicographic-milp-v1,d1ecc0eef8be82fadd657b2770769afb63ed1221abdf9a625c22566b261e05ec
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:02c96bd35045963e4e3fddbdce51683dd4cb75ea2a1474f07ca56271e09789b9,1,"[""TRAIN_Q535""]","[""swg21690184.txt""]","[""cde02e9eaaaec9aa59f94282995fa8d44901e9a23cb5bc45e00c9fcb35a3a034""]",1,0,train,42,connected-component-lexicographic-milp-v1,032652e0e64ac506646a77a30e56177076646b04a7d8f3d06e517077d723ecab
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:0325d1811ab21900176e9e6fae3c0b1dc96e98c42e10e14c1c017072337f0539,2,"[""DEV_Q164"",""DEV_Q215""]","[""swg21647231.txt""]","[""e51c952ead6baa529cbed5b0a3fbd21c5bfc0a2f29df676d4eb33637728e4627""]",2,0,validation,42,connected-component-lexicographic-milp-v1,81dbfac98199590941438adeefdc4cc4117c51f7e3f367838f5bc2f36e0b0d4b
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:033b5a0b249096af80ffaaeaccc11eb9307865fcd280e937e3c5c058689ac729,2,"[""TRAIN_Q108"",""TRAIN_Q224""]","[""swg21959745.txt""]","[""8b55b8219a71f4da78514db65c33bacf2b3c331609465a2c8bae009b6fc37100"",""cd573cadbc6220fdaabdae7b92a28344162545e438a803b8dcf4343e729f5fd7""]",2,0,validation,42,connected-component-lexicographic-milp-v1,ae2d752b62a58ade90f5775558cf25758db711ba2e8149c893d8541949478bf7
