question_id,p5,p10,y5,y10,t_low,t_high,expanded,final_action,answered,safe_answer,retrieved_k,retrieved_chunk_count,risk_constraint
DEV_Q008,0.55983949767280261,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q030,0.53017219788145165,,0,0,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q033,0.44939803691406177,,0,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q038,0.16626974860464519,,0,0,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q040,0.32682879225966022,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q053,0.54152006755467774,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q063,0.28150375256591503,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q114,0.35671880100318049,,0,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q134,0.50817215209443356,,0,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q149,0.28570511217177236,,0,0,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q154,0.37515893747449347,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q155,0.62337352689209813,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q160,0.52897414198863046,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q164,0.39198480888265752,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q175,0.72346734940864132,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q176,0.77699494705426375,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q202,0.6412083428088462,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q210,0.37340444465817563,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q215,0.39134227494600593,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q253,0.5036807171128328,,0,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q260,0.39902928345738287,,0,0,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q288,0.4760283138907685,,0,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q290,0.79142379822503828,0.82725478139056052,1,1,0.78000000000000003,0.81999999999999995,True,ANSWER_AT_K10,True,True,10,10,0.050000000000000003
DEV_Q302,0.58349630405312325,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
DEV_Q303,0.35733743006300678,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q012,0.47735910315849989,,0,0,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q014,0.53280688468225013,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q027,0.38677784925073577,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q029,0.21523969549834004,,0,0,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q047,0.71445443498895533,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q049,0.17816321949913358,,0,0,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q056,0.62337352689209813,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q058,0.35871186647477082,,0,0,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q063,0.23840386978333025,,0,0,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q065,0.36351431153900621,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q067,0.16626974860464519,,0,0,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q082,0.48875306865308149,,0,0,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q083,0.35392483376305006,,0,0,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q087,0.392400599367277,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q097,0.20125667253338364,,0,0,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q107,0.52897414198863046,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q108,0.70012743082339945,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q120,0.55948316759445815,,0,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q124,0.27129445106936939,,0,0,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q126,0.77355455596825784,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
TRAIN_Q134,0.33393205960903233,,1,1,0.78000000000000003,0.81999999999999995,False,ABSTAIN,False,,5,5,0.050000000000000003
