schema_version,sample_id,blind_order,question_id,split,retrieval_strategy,k,sampling_stratum,sample_seed,example_id,annotation_guideline_version,annotation_guideline_sha256
phase03-annotation-sample-v1,01ce6b91ecf0816a52dff7eeee8c62fdae44e8ff35a7293d8f730cee8d90d91a,81,TRAIN_Q432,validation,bm25,1,benchmark_impossible,42,4ae555ab43fbbbe8fa858d04317ea2f34ea51d0af518cd9b651f164474bfc612,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,03379bd76732417bb1a314026e09353a8c06d97b718f4c1ae273c3e9e485402f,105,DEV_Q106,train,bm25,10,partial_overlap,42,51fc4b36909432809cf0ea4ceeb56723473399ea198de36d1a823a5ab60db9a6,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,03a67d4843a66f704cc826b6083a6fd269eeea16ad36bc259ab143b2707aa864,93,DEV_Q120,train,dense,1,automatic_positive,42,9c3fcc3dce33ae49532762feb27f8d57d762ab5f09a421b2e9bc6739b4c98079,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,0435f813b00f0d22dd8812cc82e0287577843c85cd0c64ef4ad410fb450268aa,53,TRAIN_Q549,validation,dense,3,correct_document_insufficient,42,904b0d43bd5f31545167430c0bc367c7d425e89e567b589cbfa791a5f572a685,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,05fe4871e59ebb85e137b62e1aeab7a61c35d8b19e09c776703561acb970b754,43,TRAIN_Q478,validation,dense,10,wrong_document_retrieval,42,91b5f37eee4951acd9432a2f317e5d6ef8420a7ffd6b33df184aa53c7a7a4769,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,072c3a5eb8de2f625fd2e01796ed247be034fbef0757fbe894c655db71b9d2c1,120,TRAIN_Q187,validation,bm25,3,wrong_document_retrieval,42,8d383b4303f73d69653b2882472b7663dfb42bd3ef79d53ed2494e8445d5b561,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,07c34cefe2740d1f388d6763b9fa3de006a8663d425a280678d1a5c209cc1fa2,34,TRAIN_Q321,train,hybrid,5,partial_overlap,42,b4c025f8cae7c002a25248747e52a63752f7aab4e1fcad9a6b978e6e90bc4229,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,0b2f6ea7c5d7a8d4401ff08629d63e1fd734b9c7d48338a976221cddc8c88ec8,78,TRAIN_Q127,train,dense,10,wrong_document_retrieval,42,492725a28f12c2d6fdc4399b8b0ec9df16dee0ab6ecb1faffbf92f1ae114b79e,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,0e80a7363cf0dc2d411834422eb7a4459cc28d5fae8fd2b902abefdc317fad4d,61,TRAIN_Q004,train,dense,5,benchmark_impossible,42,895618b5eb1c833c13ae3d47f169aff2a7b10434386123c45e2f7efef633d502,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,0e94a006300ae304120b3c03ea0266ce6a52a5c8acf06cff1c5c5b1d6f73577d,38,TRAIN_Q007,train,hybrid,10,correct_document_insufficient,42,2d766a1618073e0058c9d83ff3dbf01ec7a77e23b419b63f600cf6c0d88d309f,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
