schema_version,model_id,model_revision,candidate_order,minimum_claim_entailment,mean_claim_entailment,maximum_selected_premise_contradiction,precision_gate_minimum,precision_gate_status,predicted_positive_count,eligible_count,tn,fp,fn,tp,sample_precision,sample_recall,sample_f1,weighted_accuracy,weighted_precision,weighted_recall,weighted_f1,weighted_confusion_proportions_json,metrics_by_stratum_json
phase03-semantic-threshold-search-v1,cross-encoder/nli-deberta-v3-base,6c749ce3425cd33b46d187e45b92bbf96ee12ec7,1,0.3,0.3,0.25,0.9,pass,15,120,42,0,63,15,1.0,0.19230769230769232,0.32258064516129037,0.5632793959007552,1.0,0.2232689319084438,0.3650365444336397,"{""fn"":0.4367206040992449,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.12553398058252427}","[{""accuracy"":0.4,""completed_count"":30,""confusion_matrix"":{""fn"":18,""fp"":0,""tn"":0,""tp"":12},""development_population_count"":1686,""f1"":0.5714285714285715,""precision"":1.0,""recall"":0.4,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5,""completed_count"":30,""confusion_matrix"":{""fn"":15,""fp"":0,""tn"":15,""tp"":0},""development_population_count"":787,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
phase03-semantic-threshold-search-v1,cross-encoder/nli-deberta-v3-base,6c749ce3425cd33b46d187e45b92bbf96ee12ec7,1,0.3,0.3,0.5,0.9,pass,15,120,42,0,63,15,1.0,0.19230769230769232,0.32258064516129037,0.5632793959007552,1.0,0.2232689319084438,0.3650365444336397,"{""fn"":0.4367206040992449,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.12553398058252427}","[{""accuracy"":0.4,""completed_count"":30,""confusion_matrix"":{""fn"":18,""fp"":0,""tn"":0,""tp"":12},""development_population_count"":1686,""f1"":0.5714285714285715,""precision"":1.0,""recall"":0.4,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5,""completed_count"":30,""confusion_matrix"":{""fn"":15,""fp"":0,""tn"":15,""tp"":0},""development_population_count"":787,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
phase03-semantic-threshold-search-v1,cross-encoder/nli-deberta-v3-base,6c749ce3425cd33b46d187e45b92bbf96ee12ec7,1,0.3,0.3,0.75,0.9,pass,15,120,42,0,63,15,1.0,0.19230769230769232,0.32258064516129037,0.5632793959007552,1.0,0.2232689319084438,0.3650365444336397,"{""fn"":0.4367206040992449,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.12553398058252427}","[{""accuracy"":0.4,""completed_count"":30,""confusion_matrix"":{""fn"":18,""fp"":0,""tn"":0,""tp"":12},""development_population_count"":1686,""f1"":0.5714285714285715,""precision"":1.0,""recall"":0.4,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5,""completed_count"":30,""confusion_matrix"":{""fn"":15,""fp"":0,""tn"":15,""tp"":0},""development_population_count"":787,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
phase03-semantic-threshold-search-v1,cross-encoder/nli-deberta-v3-base,6c749ce3425cd33b46d187e45b92bbf96ee12ec7,1,0.3,0.3,1.01,0.9,pass,15,120,42,0,63,15,1.0,0.19230769230769232,0.32258064516129037,0.5632793959007552,1.0,0.2232689319084438,0.3650365444336397,"{""fn"":0.4367206040992449,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.12553398058252427}","[{""accuracy"":0.4,""completed_count"":30,""confusion_matrix"":{""fn"":18,""fp"":0,""tn"":0,""tp"":12},""development_population_count"":1686,""f1"":0.5714285714285715,""precision"":1.0,""recall"":0.4,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5,""completed_count"":30,""confusion_matrix"":{""fn"":15,""fp"":0,""tn"":15,""tp"":0},""development_population_count"":787,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
phase03-semantic-threshold-search-v1,cross-encoder/nli-deberta-v3-base,6c749ce3425cd33b46d187e45b92bbf96ee12ec7,1,0.3,0.35,0.25,0.9,pass,15,120,42,0,63,15,1.0,0.19230769230769232,0.32258064516129037,0.5632793959007552,1.0,0.2232689319084438,0.3650365444336397,"{""fn"":0.4367206040992449,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.12553398058252427}","[{""accuracy"":0.4,""completed_count"":30,""confusion_matrix"":{""fn"":18,""fp"":0,""tn"":0,""tp"":12},""development_population_count"":1686,""f1"":0.5714285714285715,""precision"":1.0,""recall"":0.4,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5,""completed_count"":30,""confusion_matrix"":{""fn"":15,""fp"":0,""tn"":15,""tp"":0},""development_population_count"":787,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
phase03-semantic-threshold-search-v1,cross-encoder/nli-deberta-v3-base,6c749ce3425cd33b46d187e45b92bbf96ee12ec7,1,0.3,0.35,0.5,0.9,pass,15,120,42,0,63,15,1.0,0.19230769230769232,0.32258064516129037,0.5632793959007552,1.0,0.2232689319084438,0.3650365444336397,"{""fn"":0.4367206040992449,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.12553398058252427}","[{""accuracy"":0.4,""completed_count"":30,""confusion_matrix"":{""fn"":18,""fp"":0,""tn"":0,""tp"":12},""development_population_count"":1686,""f1"":0.5714285714285715,""precision"":1.0,""recall"":0.4,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5,""completed_count"":30,""confusion_matrix"":{""fn"":15,""fp"":0,""tn"":15,""tp"":0},""development_population_count"":787,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
phase03-semantic-threshold-search-v1,cross-encoder/nli-deberta-v3-base,6c749ce3425cd33b46d187e45b92bbf96ee12ec7,1,0.3,0.35,0.75,0.9,pass,15,120,42,0,63,15,1.0,0.19230769230769232,0.32258064516129037,0.5632793959007552,1.0,0.2232689319084438,0.3650365444336397,"{""fn"":0.4367206040992449,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.12553398058252427}","[{""accuracy"":0.4,""completed_count"":30,""confusion_matrix"":{""fn"":18,""fp"":0,""tn"":0,""tp"":12},""development_population_count"":1686,""f1"":0.5714285714285715,""precision"":1.0,""recall"":0.4,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5,""completed_count"":30,""confusion_matrix"":{""fn"":15,""fp"":0,""tn"":15,""tp"":0},""development_population_count"":787,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
phase03-semantic-threshold-search-v1,cross-encoder/nli-deberta-v3-base,6c749ce3425cd33b46d187e45b92bbf96ee12ec7,1,0.3,0.35,1.01,0.9,pass,15,120,42,0,63,15,1.0,0.19230769230769232,0.32258064516129037,0.5632793959007552,1.0,0.2232689319084438,0.3650365444336397,"{""fn"":0.4367206040992449,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.12553398058252427}","[{""accuracy"":0.4,""completed_count"":30,""confusion_matrix"":{""fn"":18,""fp"":0,""tn"":0,""tp"":12},""development_population_count"":1686,""f1"":0.5714285714285715,""precision"":1.0,""recall"":0.4,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5,""completed_count"":30,""confusion_matrix"":{""fn"":15,""fp"":0,""tn"":15,""tp"":0},""development_population_count"":787,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
phase03-semantic-threshold-search-v1,cross-encoder/nli-deberta-v3-base,6c749ce3425cd33b46d187e45b92bbf96ee12ec7,1,0.3,0.4,0.25,0.9,pass,15,120,42,0,63,15,1.0,0.19230769230769232,0.32258064516129037,0.5632793959007552,1.0,0.2232689319084438,0.3650365444336397,"{""fn"":0.4367206040992449,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.12553398058252427}","[{""accuracy"":0.4,""completed_count"":30,""confusion_matrix"":{""fn"":18,""fp"":0,""tn"":0,""tp"":12},""development_population_count"":1686,""f1"":0.5714285714285715,""precision"":1.0,""recall"":0.4,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5,""completed_count"":30,""confusion_matrix"":{""fn"":15,""fp"":0,""tn"":15,""tp"":0},""development_population_count"":787,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
phase03-semantic-threshold-search-v1,cross-encoder/nli-deberta-v3-base,6c749ce3425cd33b46d187e45b92bbf96ee12ec7,1,0.3,0.4,0.5,0.9,pass,15,120,42,0,63,15,1.0,0.19230769230769232,0.32258064516129037,0.5632793959007552,1.0,0.2232689319084438,0.3650365444336397,"{""fn"":0.4367206040992449,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.12553398058252427}","[{""accuracy"":0.4,""completed_count"":30,""confusion_matrix"":{""fn"":18,""fp"":0,""tn"":0,""tp"":12},""development_population_count"":1686,""f1"":0.5714285714285715,""precision"":1.0,""recall"":0.4,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5,""completed_count"":30,""confusion_matrix"":{""fn"":15,""fp"":0,""tn"":15,""tp"":0},""development_population_count"":787,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
