schema_version,sample_id,blind_order,question_id,split,retrieval_strategy,k,confirmation_sampling_stratum,sample_seed,example_id,final_target_config_sha256,annotation_guideline_version,annotation_guideline_sha256
phase03-final-confirmation-sample-v1,c78abe661ace214ea5b5495b4a4374265b769f7ad7d9087ddd4bb4f3ca79b4b7,1,TRAIN_Q545,train,dense,10,strict_positive_retained,44,f36ea2bfb8da9e802df1372ba915fd0696142029e85ab326acf8a91988692880,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,51cfbbe00046286dfa3c705a42477eb29cabda16d10f600b3865f32b6bbf47a5,2,TRAIN_Q406,train,dense,5,strict_negative_not_rescued,44,d4e9c9130c28af56faf9e98f0f1b14e55aadec927dadacb06a9a6da442b11207,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,08e3a58ea16f0e03e64317ded346a703d8eb4cfabc40ef313437dcd928dbc180,3,TRAIN_Q590,train,bm25,5,strict_negative_not_rescued,44,8904e54f102e656d4a1b79af9c04324d68aadd4327e7821c40770c79987d34ee,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,3517f50cd15e3512b4d39cf79ee74b8800525c5b78f750eb8e9aeec1a927d358,4,TRAIN_Q537,train,bm25,1,strict_positive_retained,44,07484ad6475d7c26df05858c1f31b2913aeff6cb8baae4425ce3e945ba4d2e45,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,55760b4b77c9ef1548ce5277223ad08800df685042b483055300c446fe8f4982,5,TRAIN_Q193,train,dense,5,strict_positive_retained,44,55cfda2bca56293950a4c04b907535c819cf7661eccd8211f15ea1ae975304c0,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,f038a6381cd15330a0f2af9e06fa484740bc000f154bb198fad4a92c9836484b,6,TRAIN_Q504,train,hybrid,5,strict_positive_retained,44,1fbe0e1aacf12de4e0eef68a33216cf2853a1e8ff91686d8b48095e027db3bc2,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,0448b7ddee8017e7c698c979c4ad18d0cad4bda2d88fea6b6c98167941dbb7f4,7,DEV_Q123,train,hybrid,3,strict_negative_not_rescued,44,992751f5dbd476da1ac47ef485452bcbfc3b1ab5259f652910e57ea4915f7750,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,1a088313c12ca79a578297aa5a24b38d92692f38816d6470cb19cc3795f1a308,8,DEV_Q304,train,dense,3,strict_negative_not_rescued,44,ac2101d33cf8777cf00f7a5feb7c6fedd01b05b197e652e2b69c2aafa17f08e2,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,73670ca3fb960fbdf4cda7fbf00bcd385f695a4ccd841a45e40d57b088d809cb,9,TRAIN_Q443,train,dense,1,strict_negative_rescued,44,4684f1816c10b08ebb2981551f3ff8c4490d1896d3ebf5d9c08d418057468da4,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,1f5270b7f59c9d8ed5bc660299d01e420efa28d81ab0a28d9232c5b18b201ca2,10,TRAIN_Q223,train,hybrid,10,strict_positive_retained,44,7a35cbf1adc659aa00d9a2a296e114f286effa4d5ccc0a0388128f639e74a2fa,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,c06ef1509df20f82b5f9710dd4c162911af0bf143bcb58394ebe6d692ea2e713,11,DEV_Q035,train,hybrid,5,strict_negative_rescued,44,bf6455dc41ff075b2a75f81524738a06da8d75278ba2662d134a6b3eb6bea172,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
